2020-03-21 12:59:25 install coreutils:amd64 <none> 8.30-3
2020-03-21 12:59:25 status half-installed coreutils:amd64 8.30-3
2020-03-21 12:59:25 status unpacked coreutils:amd64 8.30-3
2020-03-21 12:59:25 install dash:amd64 <none> 0.5.10.2-5
2020-03-21 12:59:25 status half-installed dash:amd64 0.5.10.2-5
2020-03-21 12:59:25 status unpacked dash:amd64 0.5.10.2-5
2020-03-21 12:59:25 install diffutils:amd64 <none> 1:3.7-3
2020-03-21 12:59:25 status half-installed diffutils:amd64 1:3.7-3
2020-03-21 12:59:25 status unpacked diffutils:amd64 1:3.7-3
2020-03-21 12:59:25 install libblkid1:amd64 <none> 2.33.1-0.1
2020-03-21 12:59:25 status half-installed libblkid1:amd64 2.33.1-0.1
2020-03-21 12:59:25 status unpacked libblkid1:amd64 2.33.1-0.1
2020-03-21 12:59:25 install libcom-err2:amd64 <none> 1.44.5-1+deb10u3
2020-03-21 12:59:25 status half-installed libcom-err2:amd64 1.44.5-1+deb10u3
2020-03-21 12:59:25 status unpacked libcom-err2:amd64 1.44.5-1+deb10u3
2020-03-21 12:59:25 install libext2fs2:amd64 <none> 1.44.5-1+deb10u3
2020-03-21 12:59:25 status half-installed libext2fs2:amd64 1.44.5-1+deb10u3
2020-03-21 12:59:25 status unpacked libext2fs2:amd64 1.44.5-1+deb10u3
2020-03-21 12:59:25 install e2fsprogs:amd64 <none> 1.44.5-1+deb10u3
2020-03-21 12:59:25 status half-installed e2fsprogs:amd64 1.44.5-1+deb10u3
2020-03-21 12:59:25 status unpacked e2fsprogs:amd64 1.44.5-1+deb10u3
2020-03-21 12:59:25 install libfdisk1:amd64 <none> 2.33.1-0.1
2020-03-21 12:59:25 status half-installed libfdisk1:amd64 2.33.1-0.1
2020-03-21 12:59:25 status unpacked libfdisk1:amd64 2.33.1-0.1
2020-03-21 12:59:25 install libmount1:amd64 <none> 2.33.1-0.1
2020-03-21 12:59:25 status half-installed libmount1:amd64 2.33.1-0.1
2020-03-21 12:59:25 status unpacked libmount1:amd64 2.33.1-0.1
2020-03-21 12:59:25 install libncursesw6:amd64 <none> 6.1+20181013-2+deb10u2
2020-03-21 12:59:25 status half-installed libncursesw6:amd64 6.1+20181013-2+deb10u2
2020-03-21 12:59:25 status unpacked libncursesw6:amd64 6.1+20181013-2+deb10u2
2020-03-21 12:59:25 install fdisk:amd64 <none> 2.33.1-0.1
2020-03-21 12:59:25 status half-installed fdisk:amd64 2.33.1-0.1
2020-03-21 12:59:25 status unpacked fdisk:amd64 2.33.1-0.1
2020-03-21 12:59:25 install findutils:amd64 <none> 4.6.0+git+20190209-2
2020-03-21 12:59:25 status half-installed findutils:amd64 4.6.0+git+20190209-2
2020-03-21 12:59:25 status unpacked findutils:amd64 4.6.0+git+20190209-2
2020-03-21 12:59:25 install grep:amd64 <none> 3.3-1
2020-03-21 12:59:25 status half-installed grep:amd64 3.3-1
2020-03-21 12:59:25 status unpacked grep:amd64 3.3-1
2020-03-21 12:59:25 install gzip:amd64 <none> 1.9-3
2020-03-21 12:59:25 status half-installed gzip:amd64 1.9-3
2020-03-21 12:59:25 status unpacked gzip:amd64 1.9-3
2020-03-21 12:59:25 install hostname:amd64 <none> 3.21
2020-03-21 12:59:25 status half-installed hostname:amd64 3.21
2020-03-21 12:59:25 status unpacked hostname:amd64 3.21
2020-03-21 12:59:25 install init-system-helpers:all <none> 1.56+nmu1
2020-03-21 12:59:25 status half-installed init-system-helpers:all 1.56+nmu1
2020-03-21 12:59:25 status unpacked init-system-helpers:all 1.56+nmu1
2020-03-21 12:59:25 install libc-bin:amd64 <none> 2.28-10
2020-03-21 12:59:25 status half-installed libc-bin:amd64 2.28-10
2020-03-21 12:59:25 status unpacked libc-bin:amd64 2.28-10
2020-03-21 12:59:25 install libpam-runtime:all <none> 1.3.1-5
2020-03-21 12:59:25 status half-installed libpam-runtime:all 1.3.1-5
2020-03-21 12:59:25 status unpacked libpam-runtime:all 1.3.1-5
2020-03-21 12:59:25 upgrade mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2020-03-21 12:59:25 status half-configured mawk:amd64 1.3.3-17+b3
2020-03-21 12:59:25 status unpacked mawk:amd64 1.3.3-17+b3
2020-03-21 12:59:25 status half-installed mawk:amd64 1.3.3-17+b3
2020-03-21 12:59:25 status unpacked mawk:amd64 1.3.3-17+b3
2020-03-21 12:59:25 install libunistring2:amd64 <none> 0.9.10-1
2020-03-21 12:59:25 status half-installed libunistring2:amd64 0.9.10-1
2020-03-21 12:59:25 status unpacked libunistring2:amd64 0.9.10-1
2020-03-21 12:59:25 install libselinux1:amd64 <none> 2.8-1+b1
2020-03-21 12:59:25 status half-installed libselinux1:amd64 2.8-1+b1
2020-03-21 12:59:25 status unpacked libselinux1:amd64 2.8-1+b1
2020-03-21 12:59:25 install zlib1g:amd64 <none> 1:1.2.11.dfsg-1
2020-03-21 12:59:25 status half-installed zlib1g:amd64 1:1.2.11.dfsg-1
2020-03-21 12:59:25 status unpacked zlib1g:amd64 1:1.2.11.dfsg-1
2020-03-21 12:59:25 install tar:amd64 <none> 1.30+dfsg-6
2020-03-21 12:59:25 status half-installed tar:amd64 1.30+dfsg-6
2020-03-21 12:59:25 status unpacked tar:amd64 1.30+dfsg-6
2020-03-21 12:59:25 upgrade perl-base:amd64 5.28.1-6 5.28.1-6
2020-03-21 12:59:25 status half-configured perl-base:amd64 5.28.1-6
2020-03-21 12:59:25 status unpacked perl-base:amd64 5.28.1-6
2020-03-21 12:59:25 status half-installed perl-base:amd64 5.28.1-6
